seq,value_name,value_category,value_category_id,value_type,value_subtype,scale_type,scale_id,scale_name,scale_gender,value_metric_description,value_metric_units,value_metric_score,ancillary_metric_description,ancillary_metric_score,spatial_feature_definition,spatial_feature_type_id,spatial_feature_name,spatial_feature_id,spatial_feature_description,narrative,date_collected,metric_score_source,metric_score_contact,join
2680,Coffee,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.01,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2685,Rice,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.02,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2687,Tobacco,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.05,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2653,Tapioca,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),2.28,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2654,Banana,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),3.41,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2655,Sweet potato,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),2.13,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2656,Taro,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.83,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2657,Sago,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.58,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2658,Green vegetables,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),2.63,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2659,"Pigs, domestic",Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),3.41,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2660,Chickens,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.25,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2678,Betel nut,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.76,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2686,Home brew,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.13,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2688,Mushroom,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.06,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2689,Spices,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.15,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2690,Galip nuts,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.53,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2653,Tapioca,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),4.48,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2654,Banana,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),5.97,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2655,Sweet potato,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),3.73,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2656,Taro,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),2.98,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2657,Sago,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.89,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2658,Green vegetables,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),4.03,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2659,"Pigs, domestic",Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),3.7,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2660,Chickens,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.9,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2678,Betel nut,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.38,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2686,Home brew,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2688,Mushroom,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.06,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2689,Spices,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.24,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2690,Galip nuts,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.87,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2653,Tapioca,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.31,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2654,Banana,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.72,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2655,Sweet potato,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.48,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2656,Taro,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.46,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2657,Sago,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.13,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2658,Green vegetables,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.62,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2659,"Pigs, domestic",Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),1.03,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2660,Chickens,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.3,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2678,Betel nut,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.79,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2686,Home brew,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.08,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2688,Mushroom,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.02,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2689,Spices,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.06,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2690,Galip nuts,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.13,,,Use existing layer,F_3,Community gardens,gard,1 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2661,Cattle,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.05,,,Use existing layer,F_3,Community livestock,live,3 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2661,Cattle,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.07,,,Use existing layer,F_3,Community livestock,live,3 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2661,Cattle,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.01,,,Use existing layer,F_3,Community livestock,live,3 km buffer around communities excluding forest,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2670,"Fish, reef",Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),3.66,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2671,"Beche-de-mer, reef",Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),2.01,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2672,"Trochus, reef",Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.96,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2673,Clams,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.1,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2674,"Building material, reef",Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.28,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2675,"Tourism, reef",Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.96,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2684,Lobster,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Bali-Witu,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.1,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2670,"Fish, reef",Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),5.97,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2671,"Beche-de-mer, reef",Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),2.22,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2672,"Trochus, reef",Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.76,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2673,Clams,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),1.52,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2674,"Building material, reef",Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.52,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2675,"Tourism, reef",Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.66,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2684,Lobster,Natural resource values,C_3,Contribution to Food security,,Local Government,llg,Bali-Witu,Men and women,Importance for food security,% of overall human well-being for food security (per unit area),0.18,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2670,"Fish, reef",Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.93,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2671,"Beche-de-mer, reef",Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.69,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2672,"Trochus, reef",Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.24,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2673,Clams,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.24,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2674,"Building material, reef",Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.02,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2675,"Tourism, reef",Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.42,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
2684,Lobster,Natural resource values,C_3,Contribution to Income,,Local Government,llg,Bali-Witu,Men and women,Importance for income,% of overall human well-being for income (per unit area),0.02,,,Use existing layer,F_3,Coral reefs,coral,Coral reefs shallower than 30 m,,16/02/2012,"Climate futures, ecosystem services and livelihood adaptation strategies in West New Britain Province, PNG. Scopeing workshop. February 2012. ",Tim Skewes and James Butler. CSIRO,llg_Bali-Witu
